Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"Big Pharma",Woman,Phd,220000.00
"Bio Tech",Woman,"College Degree",107250.00
"Bioinformatics ",Woman,"Master'S Degree",110000.00
Biology,Man,"Some College",29000.00
Biotech,Man,"College Degree",102498.17
Biotech,Man,"Master'S Degree",92720.00
Biotech,Man,Phd,145260.00
Biotech,Man,"Some College",225000.00
Biotech,"Other or prefer not to answer","College Degree",49000.00
Biotech,"Other or prefer not to answer","Master'S Degree",92153.27
Biotech,Woman,"College Degree",95487.31
Biotech,Woman,"High School",107000.00
Biotech,Woman,"Master'S Degree",103766.48
Biotech,Woman,Phd,111860.60
Biotech,Woman,"Some College",222000.00
"Book Publishing",Woman,"College Degree",61333.33
"Book Publishing",Woman,"Master'S Degree",47033.33
"Brain Research",Woman,"College Degree",28000.00
Brewing,Man,"College Degree",57000.00
"Business Or Consulting",Man,"College Degree",100622.04
"Business Or Consulting",Man,"High School",55690.00
"Business Or Consulting",Man,"Master'S Degree",119216.41
"Business Or Consulting",Man,Phd,159000.00
"Business Or Consulting",Man,"Professional Degree (Md, Jd, Etc.)",165598.30
"Business Or Consulting",Man,"Some College",124434.00
"Business Or Consulting","Other or prefer not to answer","College Degree",63811.75
"Business Or Consulting","Other or prefer not to answer","Master'S Degree",102025.00
"Business Or Consulting","Other or prefer not to answer",Phd,141000.00
"Business Or Consulting","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",521160.00
"Business Or Consulting","Other or prefer not to answer","Some College",24000.00
"Business Or Consulting","Other or prefer not to answer",Unknown,83500.00
"Business Or Consulting",Woman,"College Degree",89120.95
"Business Or Consulting",Woman,"High School",55762.00
"Business Or Consulting",Woman,"Master'S Degree",102419.11
"Business Or Consulting",Woman,Phd,115712.18
"Business Or Consulting",Woman,"Professional Degree (Md, Jd, Etc.)",140196.75
"Business Or Consulting",Woman,"Some College",76055.28
"Business Or Consulting",Woman,Unknown,105750.00
Buyer,Woman,"Some College",76650.00
"Call Center",Man,"College Degree",70000.00
"Call Center",Woman,"Some College",25480.00
"Cancer Research, Not For Profit",Woman,"Some College",71700.00
Cannabis,Man,"College Degree",65000.00
Cannabis,Woman,"College Degree",56313.33
Cannabis,Woman,"Master'S Degree",87500.00
Caregiver,Woman,"College Degree",33280.00
Caregiver,Woman,"Master'S Degree",46800.00
"Cbd Manufacturing",Woman,"College Degree",60000.00
Chaplain,Woman,"Professional Degree (Md, Jd, Etc.)",40000.00
Charity,Woman,"Some College",21750.00
Chemical,"Other or prefer not to answer","College Degree",41766.00
Chemical,"Other or prefer not to answer","Master'S Degree",70000.00
Chemical,Woman,"College Degree",47902.00
Chemical,Woman,"Master'S Degree",102000.00
Chemical,Woman,Phd,112283.33
Childcare,Man,"College Degree",25633.70
Childcare,"Other or prefer not to answer","Some College",28100.00
Childcare,Woman,"College Degree",30464.29
Childcare,Woman,"Master'S Degree",72500.00
Childcare,Woman,"Some College",38000.00
"Clean Energy (Eg. Energy Efficiency, Renewables, Etc.)",Man,"Master'S Degree",200000.00
Cleaning,Woman,"High School",41600.00
Clergy,Man,"Master'S Degree",50000.00
Clergy,Woman,"College Degree",43500.00
Clergy,Woman,"Master'S Degree",59000.00
Clergy,Woman,"Professional Degree (Md, Jd, Etc.)",108150.00
"Clinical Research",Man,"College Degree",85000.00
"Clinical Research",Woman,"College Degree",69487.67
"Clinical Research",Woman,"Master'S Degree",79248.33
Coaching,Woman,"Master'S Degree",44000.00
"Coffee - Importing","Other or prefer not to answer","College Degree",95000.00
"College Athletics",Woman,"College Degree",37500.00
"Commercial Building Material Distribution",Man,"Some College",400000.00
"Commercial Fisherman",Man,"Some College",26000.00
"Commercial Furniture",Woman,"College Degree",53000.00
"Commercial Furniture",Woman,"High School",40000.00
"Commercial Furniture",Woman,"Some College",35000.00
"Commercial Landscaping ",Woman,"Master'S Degree",42840.00
"Commercial Real Estate",Woman,"College Degree",73027.21
"Commercial Real Estate",Woman,"Master'S Degree",72000.00
"Commercial Real Estate",Woman,"Some College",55000.00
"Commodities Trading",Woman,"College Degree",75000.00
Communications,Man,"College Degree",76500.00
Communications,Woman,"College Degree",49470.62
Communications,Woman,"Master'S Degree",23930.40
Communications,Woman,Phd,90456.00
Communications,Woman,"Some College",100000.00
"Community Management",Woman,"Master'S Degree",84000.00
"Community Management",Woman,"Some College",64000.00
Compliance,Woman,"College Degree",54313.00
Compliance,Woman,"Professional Degree (Md, Jd, Etc.)",97500.00
"Computing Or Tech",Man,"College Degree",133739.70
"Computing Or Tech",Man,"High School",112444.15
"Computing Or Tech",Man,"Master'S Degree",137164.44
"Computing Or Tech",Man,Phd,136561.13
