Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"International Defence",Woman,"Master'S Degree",78000.00
"International Development",Man,"College Degree",55000.00
"International Development",Woman,"College Degree",71675.00
"International Development",Woman,"Master'S Degree",113065.00
"International Development",Woman,Phd,186150.00
"International Development",Woman,"Professional Degree (Md, Jd, Etc.)",85000.00
"International Development",Woman,Unknown,7013.50
Internet,Woman,"Master'S Degree",90820.00
Interpretation,Woman,"Master'S Degree",108600.00
Investing,Woman,"Some College",58000.00
Ipr,Woman,Phd,1095000.00
It,Woman,"College Degree",63276.00
It,Woman,"Master'S Degree",123600.00
It,Woman,"Some College",60000.00
"It ",Man,"Some College",116000.00
Janitorial,"Other or prefer not to answer","High School",29120.00
Journalism,Woman,"Master'S Degree",31200.00
Labor,Woman,"Master'S Degree",105500.00
Labor,Woman,"Professional Degree (Md, Jd, Etc.)",103996.00
"Labor Union",Woman,"College Degree",113404.25
"Labor Union",Woman,"Some College",81778.50
"Laboratory Research",Man,"Master'S Degree",83200.00
"Laboratory Research",Woman,"College Degree",48000.00
"Laboratory Research",Woman,"Master'S Degree",43338.00
Landscape,Woman,"College Degree",47920.00
Landscape,Woman,"Master'S Degree",65375.00
Landscape,Woman,"Some College",58240.00
"Language Services","Other or prefer not to answer","Master'S Degree",70000.00
"Language Services",Woman,"College Degree",87000.00
"Laundry And Rental",Woman,"College Degree",62000.00
Law,Man,"College Degree",74724.74
Law,Man,"High School",50791.67
Law,Man,"Master'S Degree",80610.00
Law,Man,Phd,79950.00
Law,Man,"Professional Degree (Md, Jd, Etc.)",180320.18
Law,Man,"Some College",50112.40
Law,Man,Unknown,118493.33
Law,"Other or prefer not to answer","College Degree",48222.22
Law,"Other or prefer not to answer","Master'S Degree",65066.25
Law,"Other or prefer not to answer",Phd,161000.00
Law,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",114498.00
Law,"Other or prefer not to answer","Some College",43694.17
Law,"Other or prefer not to answer",Unknown,103000.00
Law,Woman,"College Degree",62040.82
Law,Woman,"High School",54792.07
Law,Woman,"Master'S Degree",89341.69
Law,Woman,Phd,148788.94
Law,Woman,"Professional Degree (Md, Jd, Etc.)",140595.81
Law,Woman,"Some College",63014.63
Law,Woman,Unknown,168000.00
"Learning & Development",Man,"College Degree",62000.00
"Learning & Development",Woman,Phd,68000.00
"Legal Services",Woman,"Master'S Degree",98500.00
"Legal Services",Woman,"Some College",23125.00
"Leisure, Sport & Tourism",Man,"College Degree",77266.54
"Leisure, Sport & Tourism",Man,"Master'S Degree",63625.00
"Leisure, Sport & Tourism",Man,"Some College",36221.67
"Leisure, Sport & Tourism","Other or prefer not to answer","College Degree",184.30
"Leisure, Sport & Tourism",Woman,"College Degree",60725.30
"Leisure, Sport & Tourism",Woman,"High School",31200.00
"Leisure, Sport & Tourism",Woman,"Master'S Degree",85947.94
"Leisure, Sport & Tourism",Woman,Phd,42000.00
"Leisure, Sport & Tourism",Woman,"Professional Degree (Md, Jd, Etc.)",215000.00
"Leisure, Sport & Tourism",Woman,"Some College",38352.42
"Leisure, Sport & Tourism",Woman,Unknown,34320.00
"Libraries / Archives / Information",Man,"College Degree",40000.00
"Libraries / Archives / Information",Man,"Master'S Degree",55693.20
"Libraries / Archives / Information","Other or prefer not to answer","College Degree",33500.00
"Libraries / Archives / Information","Other or prefer not to answer","Master'S Degree",50029.15
"Libraries / Archives / Information","Other or prefer not to answer","Some College",21486.00
"Libraries / Archives / Information",Woman,"College Degree",39880.09
"Libraries / Archives / Information",Woman,"High School",20200.00
"Libraries / Archives / Information",Woman,"Master'S Degree",59999.06
"Libraries / Archives / Information",Woman,Phd,58222.50
"Libraries / Archives / Information",Woman,"Some College",39314.25
"Libraries / Archives / Information",Woman,Unknown,40000.00
"Life Sciences",Man,Phd,90625.00
"Life Sciences",Woman,"College Degree",62000.00
"Life Sciences",Woman,"Master'S Degree",106266.67
"Life Sciences",Woman,Phd,92723.00
Literature,Woman,Phd,37746.00
"Lobbying And Consulting",Man,"Master'S Degree",55920.00
"Lobbying And Consulting",Woman,"College Degree",75000.00
Logistics,Woman,"College Degree",72775.00
"Low-Voltage Equipment",Man,"College Degree",45000.00
Maintenance,Man,"College Degree",87000.00
"Management ",Woman,"College Degree",67204.50
"Management ",Woman,"Master'S Degree",83000.00
"Management Consulting",Woman,"College Degree",180000.00
"Management Consulting",Woman,Unknown,180000.00
Manufacturing,Man,"College Degree",73707.50
Manufacturing,Man,"Master'S Degree",71625.00
Manufacturing,Man,"Some College",40476.00
Manufacturing,"Other or prefer not to answer","College Degree",60800.00
Manufacturing,Woman,"College Degree",73810.87
Manufacturing,Woman,"High School",65093.75
Manufacturing,Woman,"Master'S Degree",89630.07
Manufacturing,Woman,Phd,89620.00
Manufacturing,Woman,"Professional Degree (Md, Jd, Etc.)",77412.00
Manufacturing,Woman,"Some College",64000.00
Maritime,Man,"Some College",67580.00
"Marketing, Advertising & Pr",Man,"College Degree",89666.24
"Marketing, Advertising & Pr",Man,"High School",126666.67
"Marketing, Advertising & Pr",Man,"Master'S Degree",81386.42
"Marketing, Advertising & Pr",Man,Phd,185000.00
"Marketing, Advertising & Pr",Man,"Professional Degree (Md, Jd, Etc.)",67000.00
"Marketing, Advertising & Pr",Man,"Some College",89447.27
"Marketing, Advertising & Pr",Man,Unknown,14460.00
"Marketing, Advertising & Pr","Other or prefer not to answer","College Degree",61063.54
"Marketing, Advertising & Pr","Other or prefer not to answer","Master'S Degree",105251.14
"Marketing, Advertising & Pr","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",40000.00
"Marketing, Advertising & Pr","Other or prefer not to answer","Some College",135000.00
"Marketing, Advertising & Pr","Other or prefer not to answer",Unknown,82500.00
"Marketing, Advertising & Pr",Woman,"College Degree",82232.87
"Marketing, Advertising & Pr",Woman,"High School",72933.25
"Marketing, Advertising & Pr",Woman,"Master'S Degree",90177.89
"Marketing, Advertising & Pr",Woman,Phd,98886.67
"Marketing, Advertising & Pr",Woman,"Professional Degree (Md, Jd, Etc.)",66125.00
"Marketing, Advertising & Pr",Woman,"Some College",67209.73
"Marketing, Advertising & Pr",Woman,Unknown,84087.00
"Media & Digital",Man,"College Degree",86565.47
"Media & Digital",Man,"High School",57950.00
"Media & Digital",Man,"Master'S Degree",115623.42
"Media & Digital",Man,"Professional Degree (Md, Jd, Etc.)",123300.00
"Media & Digital",Man,"Some College",102568.64
"Media & Digital",Man,Unknown,120000.00
"Media & Digital","Other or prefer not to answer","College Degree",68511.56
"Media & Digital","Other or prefer not to answer","Master'S Degree",72356.25
"Media & Digital","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",92000.00
"Media & Digital","Other or prefer not to answer","Some College",63750.00
"Media & Digital","Other or prefer not to answer",Unknown,43750.00
"Media & Digital",Woman,"College Degree",75946.19
"Media & Digital",Woman,"High School",69461.00
"Media & Digital",Woman,"Master'S Degree",80477.24
"Media & Digital",Woman,Phd,99053.57
"Media & Digital",Woman,"Professional Degree (Md, Jd, Etc.)",105744.44
"Media & Digital",Woman,"Some College",78490.58
"Media & Digital",Woman,Unknown,61414.22
Medical,Man,Phd,43524.00
Medical,"Other or prefer not to answer","College Degree",43000.00
Medical,"Other or prefer not to answer","Master'S Degree",66000.00
Medical,Woman,"College Degree",61251.00
Medical,Woman,"High School",65007.00
Medical,Woman,"Master'S Degree",109790.00
Medical,Woman,Phd,95416.67
"Medical Devices",Man,"Master'S Degree",96000.00
"Medical Devices",Woman,"College Degree",86718.33
"Medical Devices",Woman,Phd,130000.00
"Mental Health",Woman,"Master'S Degree",55896.67
"Mental Health ",Woman,Phd,30000.00
Military,Man,"College Degree",3094.00
Military,Woman,"College Degree",83000.00
"Military ",Man,"College Degree",55000.00
"Military ",Woman,"High School",125000.00
"Mining/Mineral Exploration",Man,"College Degree",57182.50
"Mining/Mineral Exploration",Man,"High School",84500.00
"Mining/Mineral Exploration",Man,"Master'S Degree",106808.00
"Mining/Mineral Exploration",Woman,"College Degree",73195.88
"Mining/Mineral Exploration",Woman,"High School",52582.40
"Mining/Mineral Exploration",Woman,"Master'S Degree",59000.00
"Mining/Mineral Exploration",Woman,"Some College",64854.00
Ministry,Man,"College Degree",42000.00
Ministry,Woman,"College Degree",32000.00
Ministry,Woman,"Master'S Degree",59750.00
Mortgage,Woman,"College Degree",50000.00
Mortgage,Woman,"High School",49000.00
"Multilateral Organisation ",Man,"Master'S Degree",250000.00
"Municipal Library",Woman,"Master'S Degree",61317.67
Museums,Man,"College Degree",51150.00
Museums,Man,"Master'S Degree",44365.43
Museums,Man,Phd,128000.00
Museums,Woman,"College Degree",38553.33
Museums,Woman,"Master'S Degree",51435.29
Museums,Woman,Phd,60000.00
Music,Man,"College Degree",65000.00
Music,Man,"Master'S Degree",58000.00
Music,Woman,"College Degree",56000.00
Music,Woman,"Master'S Degree",50000.00
"National Laboratory",Woman,Phd,115000.00
"Natural Resources",Woman,"College Degree",50000.00
"Natural Resources",Woman,"Master'S Degree",56997.00
Nonprofits,Man,"College Degree",79072.02
Nonprofits,Man,"High School",47730.00
Nonprofits,Man,"Master'S Degree",78698.04
Nonprofits,Man,Phd,91167.50
Nonprofits,Man,"Professional Degree (Md, Jd, Etc.)",130000.00
Nonprofits,Man,"Some College",69180.93
Nonprofits,Man,Unknown,45715.70
Nonprofits,"Other or prefer not to answer","College Degree",50781.45
Nonprofits,"Other or prefer not to answer","Master'S Degree",65714.47
Nonprofits,"Other or prefer not to answer",Phd,91536.17
Nonprofits,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",62833.33
Nonprofits,"Other or prefer not to answer","Some College",48347.61
Nonprofits,"Other or prefer not to answer",Unknown,64250.00
Nonprofits,Woman,"College Degree",65462.43
Nonprofits,Woman,"High School",41982.54
Nonprofits,Woman,"Master'S Degree",73486.54
Nonprofits,Woman,Phd,82413.87
Nonprofits,Woman,"Professional Degree (Md, Jd, Etc.)",100368.16
Nonprofits,Woman,"Some College",65533.14
Nonprofits,Woman,Unknown,64366.70
"Nuclear Research",Man,"College Degree",122000.00
"Office Administration",Woman,"College Degree",41000.00
"Office Administration",Woman,"Some College",36400.00
"Oil & Gas",Man,"College Degree",265125.00
"Oil & Gas",Man,"Master'S Degree",91348.33
"Oil & Gas",Man,Phd,89807.20
"Oil & Gas",Man,"Some College",120000.00
"Oil & Gas",Woman,"College Degree",84863.20
"Oil & Gas",Woman,"Master'S Degree",113408.57
"Oil & Gas",Woman,"Some College",55837.20
"Online Learning",Woman,"College Degree",59000.00
"Online Learning",Woman,"Master'S Degree",41392.00
Operations,Woman,"College Degree",77500.00
"Organizational Development ",Woman,"Master'S Degree",69270.90
"Outdoor Industry/Repair And Maintenance",Woman,"Some College",37000.00
"Outsourcing Services ",Man,"Some College",90000.00
"Outsourcing Services ",Woman,"High School",2496.00
"Parking ",Woman,"High School",63000.00
"Parks And Recreation, Land Management But With Customer Service Included",Woman,"Some College",27460.00
"Patent Translation",Woman,"College Degree",36697.50
"Payment Processing",Woman,"College Degree",51156.30
"Payroll Software",Woman,"College Degree",51001.00
"Pension Benefit Administration",Man,"Some College",72000.00
"Per Sitter",Woman,"College Degree",43800.00
"Performing Arts",Woman,"College Degree",41500.00
"Pet Care","Other or prefer not to answer","Some College",25000.00
"Pet Care",Woman,"College Degree",50750.00
"Pet Care",Woman,"Master'S Degree",41600.00
"Pet Care",Woman,"Some College",35360.00
Petroleum,Woman,"Master'S Degree",220000.00
Pharmaceutical,Man,"College Degree",91840.00
Pharmaceutical,Man,"Master'S Degree",137333.33
Pharmaceutical,Man,Phd,140696.43
Pharmaceutical,Man,"Professional Degree (Md, Jd, Etc.)",122000.00
Pharmaceutical,"Other or prefer not to answer","College Degree",107000.00
Pharmaceutical,"Other or prefer not to answer","Master'S Degree",61936.00
Pharmaceutical,Woman,"College Degree",95016.86
Pharmaceutical,Woman,"Master'S Degree",126279.23
Pharmaceutical,Woman,Phd,134447.43
Pharmaceutical,Woman,"Professional Degree (Md, Jd, Etc.)",189333.33
Pharmaceutical,Woman,"Some College",70427.75
Phd,Man,"Master'S Degree",23750.00
Philanthropy,Woman,"College Degree",71283.33
Philanthropy,Woman,"Master'S Degree",76000.00
Philanthropy,Woman,Phd,65000.00
"Philanthropy ",Woman,"College Degree",114000.00
"Philanthropy ",Woman,"Master'S Degree",93833.33
"Physical Sciences",Man,Phd,103000.00
Planning,Woman,Unknown,72000.00
Plumbing,Man,"High School",1590.00
Plumbing,Man,Unknown,1590.00
"Policy Research",Woman,"Master'S Degree",82000.00
Politics,Man,"College Degree",72000.00
Politics,Man,"Master'S Degree",90000.00
Politics,"Other or prefer not to answer","College Degree",71000.00
Politics,Woman,"College Degree",69590.91
Politics,Woman,"Master'S Degree",69000.00
Politics,Woman,"Professional Degree (Md, Jd, Etc.)",75000.00
Politics,Woman,"Some College",48000.00
"Preclinical Research",Woman,"College Degree",82000.00
"Print Distributor ",Man,"College Degree",68500.00
"Print Distributor ",Woman,"College Degree",62500.00
Printing,Man,"College Degree",40000.00
Printing,Woman,"College Degree",61360.00
"Private Equity",Woman,"College Degree",106500.00
"Private Investigator At Large Firm",Woman,"College Degree",56000.00
"Private Sector Emergency Management",Woman,"Master'S Degree",115000.00
Probiotics,Man,"Professional Degree (Md, Jd, Etc.)",27500.00
Procurement,Woman,"College Degree",73250.00
"Procurement ",Woman,"Master'S Degree",72960.00
"Product Management",Man,"Master'S Degree",115000.00
"Product Management",Woman,Phd,134125.00
"Production And Manufacturing",Woman,"College Degree",65000.00
"Professional Services",Woman,"College Degree",74290.71
"Professional Services",Woman,"Master'S Degree",66486.67
"Project Management ",Woman,"College Degree",60000.00
"Property Or Construction",Man,"College Degree",83576.83
"Property Or Construction",Man,"High School",55575.00
"Property Or Construction",Man,"Master'S Degree",90840.22
"Property Or Construction",Man,"Professional Degree (Md, Jd, Etc.)",63000.00
"Property Or Construction",Man,"Some College",53632.44
"Property Or Construction","Other or prefer not to answer","College Degree",50653.60
"Property Or Construction","Other or prefer not to answer","High School",37500.00
"Property Or Construction","Other or prefer not to answer","Master'S Degree",110500.00
"Property Or Construction","Other or prefer not to answer",Unknown,55000.00
"Property Or Construction",Woman,"College Degree",69899.45
"Property Or Construction",Woman,"High School",50220.24
"Property Or Construction",Woman,"Master'S Degree",79699.39
"Property Or Construction",Woman,"Professional Degree (Md, Jd, Etc.)",73416.67
"Property Or Construction",Woman,"Some College",57362.96
"Property Or Construction",Woman,Unknown,66950.00
"Protective Coatings",Man,"Some College",56000.00
Psychology,Man,Phd,60000.00
Psychology,Woman,Phd,120000.00
"Public Affairs / Pr ",Woman,"College Degree",88000.00
"Public Health","Other or prefer not to answer","College Degree",56000.00
"Public Health","Other or prefer not to answer","Master'S Degree",65949.00
"Public Health",Woman,"College Degree",87000.00
"Public Health",Woman,"Master'S Degree",76498.17
"Public Health",Woman,Phd,80875.00
"Public Health",Woman,Unknown,60000.00
"Public Health ",Man,"Master'S Degree",50500.00
"Public Health ",Woman,"Master'S Degree",61000.00
"Public Library",Man,"College Degree",82700.00
"Public Library",Man,"Master'S Degree",56000.00
"Public Library",Man,"Professional Degree (Md, Jd, Etc.)",40000.00
"Public Library","Other or prefer not to answer","College Degree",33365.50
"Public Library","Other or prefer not to answer","Master'S Degree",60985.00
"Public Library","Other or prefer not to answer","Some College",28000.00
"Public Library",Woman,"College Degree",42732.11
"Public Library",Woman,"Master'S Degree",57505.22
"Public Library",Woman,"Professional Degree (Md, Jd, Etc.)",67500.00
"Public Library",Woman,Unknown,40450.00
"Public Policy",Woman,"College Degree",53080.00
"Public Research",Woman,"Master'S Degree",72000.00
"Public Research",Woman,Phd,100000.00
"Public Safety",Woman,"High School",35360.00
"Public Safety ",Woman,"College Degree",82550.00
Publishing,Man,"College Degree",120350.00
Publishing,Man,"Master'S Degree",40540.00
Publishing,"Other or prefer not to answer","College Degree",51500.00
Publishing,"Other or prefer not to answer",Phd,37000.00
Publishing,"Other or prefer not to answer",Unknown,65000.00
Publishing,Woman,"College Degree",57948.97
Publishing,Woman,"Master'S Degree",50466.85
Publishing,Woman,Phd,62400.00
Publishing,Woman,"Some College",83500.00
Purchasing,Woman,"College Degree",86200.00
"Purchasing ",Woman,"Some College",55000.00
"Quality Assurance",Man,"College Degree",38700.00
"Quality Assurance",Woman,"College Degree",45085.50
R&D,Woman,"College Degree",60000.00
R&D,Woman,"Master'S Degree",160000.00
"Real Estate ",Man,"College Degree",120000.00
"Real Estate ",Man,"Master'S Degree",105840.00
"Real Estate ",Man,"Some College",58722.50
"Real Estate ","Other or prefer not to answer","College Degree",31200.00
"Real Estate ","Other or prefer not to answer","High School",38563.00
"Real Estate ",Woman,"College Degree",54098.04
"Real Estate ",Woman,"High School",63000.00
"Real Estate ",Woman,"Master'S Degree",99350.00
"Real Estate ",Woman,"Some College",68504.00
"Real World Evidence (Data For Pharma Research)",Man,"Master'S Degree",181290.00
"Recruitment Or Hr",Man,"College Degree",80643.33
"Recruitment Or Hr",Man,"High School",68645.00
"Recruitment Or Hr",Man,"Master'S Degree",103428.57
"Recruitment Or Hr",Man,Phd,45000.00
"Recruitment Or Hr",Man,"Some College",64284.00
"Recruitment Or Hr","Other or prefer not to answer","College Degree",63020.25
"Recruitment Or Hr","Other or prefer not to answer","Master'S Degree",73504.06
"Recruitment Or Hr",Woman,"College Degree",75529.05
"Recruitment Or Hr",Woman,"High School",51601.92
"Recruitment Or Hr",Woman,"Master'S Degree",81911.40
"Recruitment Or Hr",Woman,Phd,101624.75
"Recruitment Or Hr",Woman,"Professional Degree (Md, Jd, Etc.)",93540.00
"Recruitment Or Hr",Woman,"Some College",71630.86
"Recruitment Or Hr",Woman,Unknown,84333.33
"Regulatory Affairs",Man,"College Degree",75000.00
"Regulatory Affairs",Woman,"College Degree",70980.00
Religion,Man,"College Degree",53000.00
Religion,Man,"Professional Degree (Md, Jd, Etc.)",100000.00
Religion,Woman,"College Degree",43775.00
Religion,Woman,"Master'S Degree",55360.00
"Renewable Energy",Man,"Professional Degree (Md, Jd, Etc.)",170000.00
"Renewable Energy","Other or prefer not to answer","College Degree",71077.00
"Renewable Energy",Woman,"College Degree",112000.00
"Renewable Energy",Woman,"Master'S Degree",85532.50
"Repair Facility For Heavy Duty Trucks","Other or prefer not to answer","High School",65000.00
Research,Man,"College Degree",47840.00
Research,Man,"Master'S Degree",41940.00
Research,Man,Phd,65492.24
Research,"Other or prefer not to answer","College Degree",87000.00
Research,Woman,"College Degree",59292.17
Research,Woman,"Master'S Degree",69323.23
Research,Woman,Phd,95944.18
Research,Woman,"Some College",62160.00
"Restaurant/Food Service",Man,"High School",29120.00
"Restaurant/Food Service",Man,"Some College",15080.00
"Restaurant/Food Service","Other or prefer not to answer","College Degree",21808.80
"Restaurant/Food Service","Other or prefer not to answer","Some College",55000.00
"Restaurant/Food Service",Woman,"College Degree",80840.00
"Restaurant/Food Service",Woman,"Some College",38000.00
Restoration,Woman,"College Degree",184000.00
Retail,Man,"College Degree",68409.24
Retail,Man,"High School",38146.89
Retail,Man,"Master'S Degree",149723.23
Retail,Man,Phd,107120.00
Retail,Man,"Professional Degree (Md, Jd, Etc.)",91750.00
Retail,Man,"Some College",47362.51
Retail,Man,Unknown,43338.00
Retail,"Other or prefer not to answer","College Degree",48249.33
Retail,"Other or prefer not to answer","High School",24672.36
Retail,"Other or prefer not to answer","Master'S Degree",45670.00
Retail,"Other or prefer not to answer","Some College",35786.54
Retail,"Other or prefer not to answer",Unknown,27600.00
Retail,Woman,"College Degree",60486.33
Retail,Woman,"High School",38869.93
Retail,Woman,"Master'S Degree",74115.57
Retail,Woman,Phd,39520.00
Retail,Woman,"Professional Degree (Md, Jd, Etc.)",39414.79
Retail,Woman,"Some College",45741.40
Retail,Woman,Unknown,40116.27
Retired,Woman,"College Degree",13000.00
Rideshare,Woman,"College Degree",48000.00
"Rural Electrification",Woman,"College Degree",60000.00
Saas,Man,"College Degree",72809.50
Saas,Woman,"College Degree",111840.00
"Sailing Instructor",Woman,"High School",41600.00
Sales,Man,"College Degree",109855.19
Sales,Man,"High School",58306.12
Sales,Man,"Master'S Degree",90029.55
Sales,Man,Phd,100000.00
Sales,Man,"Some College",89197.50
Sales,Man,Unknown,105596.67
Sales,"Other or prefer not to answer","College Degree",35250.00
Sales,"Other or prefer not to answer","Some College",40932.00
Sales,Woman,"College Degree",68486.73
Sales,Woman,"High School",74131.00
Sales,Woman,"Master'S Degree",105634.57
Sales,Woman,Phd,72400.00
Sales,Woman,"Professional Degree (Md, Jd, Etc.)",82815.00
Sales,Woman,"Some College",72681.81
Sales,Woman,Unknown,28093.15
"School District Pre-K-12",Woman,"Master'S Degree",40200.00
Science/Research,Man,"College Degree",84250.00
Science/Research,Man,"Master'S Degree",180000.00
Science/Research,Man,Phd,80136.50
Science/Research,"Other or prefer not to answer","College Degree",30756.00
Science/Research,"Other or prefer not to answer","Master'S Degree",56763.00
Science/Research,Woman,"College Degree",51248.13
Science/Research,Woman,"Master'S Degree",61818.07
Science/Research,Woman,Phd,86464.40
Science/Research,Woman,"Some College",31200.00
Security,Woman,"College Degree",46514.00
Security,Woman,"Some College",50000.00
Service,Woman,"Some College",60500.00
"Shared Office Space",Woman,"College Degree",48000.00
"Sign Language Interpreter, Community",Woman,"College Degree",124800.00
"Skilled Trade ",Woman,"Some College",55920.00
