Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Mechanical Engineer","5-7 years",1540820.00
"Lead Developer","11 - 20 years",1539000.00
"Registered Nurse","11 - 20 years",1520431.00
"Senior Data Scientist","5-7 years",1516514.00
"Senior Engineering Manager","11 - 20 years",1502150.00
"Principal Software Engineer","21 - 30 years",1482023.00
Analyst,"2 - 4 years",1481306.70
"Administrative Assistant","11 - 20 years",1480116.60
"Senior Analyst","5-7 years",1477695.00
"Senior Program Manager","11 - 20 years",1476045.00
Rn,"21 - 30 years",1473665.00
"Program Director","11 - 20 years",1472938.00
"Executive Assistant ","21 - 30 years",1460531.70
"Senior Policy Advisor","11 - 20 years",1458661.00
"Associate ","5-7 years",1450154.00
"Agricultural Supply Line Negotiating Consultant","2 - 4 years",1450000.00
"Software Engineer Ii","2 - 4 years",1441371.00
Consultant,"5-7 years",1437822.00
"Associate General Counsel","11 - 20 years",1431200.00
"Software Engineering Manager","8 - 10 years",1423180.00
"Senior Editor","11 - 20 years",1419677.50
"Associate Director","8 - 10 years",1413709.80
"Security Engineer","11 - 20 years",1407257.00
"Senior Product Manager","21 - 30 years",1405000.00
"Web Developer","11 - 20 years",1401615.60
"Data Scientist","8 - 10 years",1401090.00
"Senior Analyst","11 - 20 years",1398420.00
"Software Developer","8 - 10 years",1395587.00
Teacher,"5-7 years",1374696.10
"General Manager","21 - 30 years",1368320.00
"Senior Financial Analyst","5-7 years",1366450.00
"Finance Manager","11 - 20 years",1357316.50
"Site Reliability Engineer","11 - 20 years",1356180.00
"Administrative Assistant","5-7 years",1328526.30
"Operations Manager","5-7 years",1328075.00
"Assistant Professor","8 - 10 years",1321271.00
"Senior Associate","5-7 years",1315368.00
"Senior Staff Engineer","11 - 20 years",1297400.00
"Executive Assistant ","11 - 20 years",1288809.10
"Senior Staff Software Engineer","21 - 30 years",1287000.00
"Software Architect","11 - 20 years",1281894.30
"Account Manager","8 - 10 years",1276750.00
"Hr Manager","21 - 30 years",1264684.50
"Program Associate","2 - 4 years",1257195.00
"Director Of Communications","11 - 20 years",1253265.00
"Associate Attorney","2 - 4 years",1244945.00
Scientist,"5-7 years",1244900.00
"Communications Director","11 - 20 years",1237740.00
"Project Engineer","11 - 20 years",1233056.70
"Product Manager","21 - 30 years",1226095.00
"Director Of Engineering","8 - 10 years",1223600.00
"Senior Developer","11 - 20 years",1221425.00
"Technical Writer","11 - 20 years",1218003.90
"Program Manager","2 - 4 years",1194517.00
"Technical Writer","5-7 years",1194420.00
"Communications Manager","11 - 20 years",1194000.00
"Customer Success Manager","11 - 20 years",1190750.00
"Operations Manager","21 - 30 years",1190257.30
"Vice President ","11 - 20 years",1176900.00
Analyst,"5-7 years",1170035.00
"Nurse Practitioner","11 - 20 years",1162670.00
Physician,"5-7 years",1156250.00
"Data Engineer","8 - 10 years",1155412.50
"It Manager","21 - 30 years",1153100.00
"Business Analyst","5-7 years",1151405.70
Cto,"21 - 30 years",1147855.00
"Solutions Architect","11 - 20 years",1144523.00
Vp,"21 - 30 years",1141904.00
"Senior Analyst","8 - 10 years",1136813.50
"Financial Analyst","2 - 4 years",1136554.00
"Senior Business Systems Analyst ","8 - 10 years",1136000.00
"Senior Software Engineer ","11 - 20 years",1135860.00
Engineer,"11 - 20 years",1132824.00
"Associate Director ","11 - 20 years",1131792.00
"Human Resources Manager","11 - 20 years",1128855.00
"Associate Attorney ","5-7 years",1123000.00
Associate,"11 - 20 years",1122838.00
"Compliance Manager","11 - 20 years",1117520.00
Editor,"8 - 10 years",1113766.20
"Project Manager ","11 - 20 years",1113671.50
"Executive Assistant","5-7 years",1111699.50
Physician,"8 - 10 years",1110000.00
"Graphic Designer","11 - 20 years",1107940.00
"Account Manager","5-7 years",1105095.40
Ceo,"11 - 20 years",1102300.00
"Senior Software Engineer","31 - 40 years",1101120.00
"Senior Program Manager","8 - 10 years",1100750.00
"Senior Software Developer","8 - 10 years",1099854.00
"Process Engineer","5-7 years",1098874.00
"Editor In Chief","21 - 30 years",1095000.00
"Sr. Research Associate","2 - 4 years",1095000.00
"Research Scientist","5-7 years",1080932.00
"Product Manager","2 - 4 years",1080314.50
"Director ","11 - 20 years",1076980.00
Vp,"11 - 20 years",1075000.00
Svp,"11 - 20 years",1075000.00
"Executive Director ","21 - 30 years",1069990.00
Consultant,"21 - 30 years",1063664.80
"Manager Of Data Science ","11 - 20 years",1060000.00
"Software Engineer ","5-7 years",1055114.00
"Technical Writer","21 - 30 years",1051117.00
"Hr Generalist","11 - 20 years",1048880.00
"Attorney ","11 - 20 years",1045220.00
"Business Analyst","2 - 4 years",1043096.00
"Ux Designer ","2 - 4 years",1040000.00
"Principal Program Manager","21 - 30 years",1040000.00
"Process Engineer","2 - 4 years",1036100.00
"Senior Product Manager","8 - 10 years",1032243.80
"Staff Attorney","5-7 years",1031645.00
"Software Developer ","11 - 20 years",1031280.00
"Staff Accountant","11 - 20 years",1024153.00
"Senior Vice President","11 - 20 years",1019000.00
"Development Director","11 - 20 years",1015500.00
"Systems Engineer","11 - 20 years",1015200.00
"Senior Marketing Manager","11 - 20 years",1015132.10
Attorney,"2 - 4 years",1014050.00
"Software Engineer ","8 - 10 years",1012208.00
"Senior Corporate Counsel","11 - 20 years",1011500.00
